"findingNumber","registryId","ghsa","package","currentVersion","severity","patchedVersions","dependencyScope","dependencyType","declaration","reachability","surface","actualRisk","patchCompatibility","remediationPlan","breakingChangeRisk","path","url"
"12","1115806","GHSA-r5fr-rjxr-66jc","lodash","4.17.21","high",">=4.18.0","production","direct","dependencies:^4.17.21","runtime-reachable","Storefront server/client utility calls","medium","compatible-patch-applied","Upgrade direct and transitive Lodash 4 to 4.18.1.","low","apps__storefront>lodash","https://github.com/advisories/GHSA-r5fr-rjxr-66jc"
"13","1115810","GHSA-f23m-r3pf-42rh","lodash","4.17.21","moderate",">=4.18.0","production","direct","dependencies:^4.17.21","runtime-reachable","Storefront server/client utility calls","medium","compatible-patch-applied","Upgrade direct and transitive Lodash 4 to 4.18.1.","low","apps__storefront>lodash","https://github.com/advisories/GHSA-f23m-r3pf-42rh"
"14","1116229","GHSA-4w7w-66w2-5vf9","vite","5.4.21","moderate",">=6.4.2","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Vite 6.4.x is outside Medusa 2.18's ^5.4.21 peer range.","high","apps__backend>@medusajs/framework>vite","https://github.com/advisories/GHSA-4w7w-66w2-5vf9"
"15","1116560","GHSA-r4q5-vmmm-2653","follow-redirects","1.15.11","moderate",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Resolved by the compatible Axios dependency refresh.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios>follow-redirects","https://github.com/advisories/GHSA-r4q5-vmmm-2653"
"16","1116673","GHSA-3p68-rc4w-qgx5","axios","1.13.2","moderate",">=1.15.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-3p68-rc4w-qgx5"
"17","1117015","GHSA-qx2v-qp2m-jg93","postcss","8.5.6","moderate",">=8.5.10","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","compatible-patch-applied","Upgrade Vite/PostCSS paths to 8.5.25 within Vite's ^8.4.43 range.","low","apps__backend>@medusajs/framework>vite>postcss","https://github.com/advisories/GHSA-qx2v-qp2m-jg93"
"18","1117015","GHSA-qx2v-qp2m-jg93","postcss","8.4.31","moderate",">=8.5.10","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-qx2v-qp2m-jg93"
"19","1117066","GHSA-wf6x-7x77-mvgw","immutable","3.7.6","high",">=3.8.3","production","transitive","","build-or-development-only","GraphQL/Relay code generation","low","compatible-patch-applied","Upgrade Immutable 3.7.6 to 3.8.3 within the parent ~3.7.6 range.","low","apps__backend>@medusajs/cli>@medusajs/utils>@graphql-codegen/typescript>@graphql-codegen/visitor-plugin-common>@graphql-tools/relay-operation-optimizer>@ardatan/relay-compiler>immutable","https://github.com/advisories/GHSA-wf6x-7x77-mvgw"
"20","1117571","GHSA-xq3m-2v4x-88gg","protobufjs","7.5.4","critical",">=7.5.5","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-xq3m-2v4x-88gg"
"21","1117574","GHSA-w9j2-pvgh-6h63","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-w9j2-pvgh-6h63"
"22","1117576","GHSA-pmwg-cvhr-8vh7","axios","1.13.2","high",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-pmwg-cvhr-8vh7"
"23","1117577","GHSA-3w6x-2g7m-8v23","axios","1.13.2","moderate",">=1.15.2","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-3w6x-2g7m-8v23"
"24","1117580","GHSA-xhjh-pmcv-23jw","axios","1.13.2","low",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-xhjh-pmcv-23jw"
"25","1117581","GHSA-445q-vr5w-6q77","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-445q-vr5w-6q77"
"26","1117583","GHSA-m7pr-hjqh-92cm","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-m7pr-hjqh-92cm"
"27","1117587","GHSA-5c9x-8gcm-mpgx","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-5c9x-8gcm-mpgx"
"28","1117589","GHSA-vf2m-468p-8v99","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-vf2m-468p-8v99"
"29","1117591","GHSA-pf86-5x62-jrwf","axios","1.13.2","high",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-pf86-5x62-jrwf"
"30","1117593","GHSA-6chq-wfr3-2hj9","axios","1.13.2","high",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-6chq-wfr3-2hj9"
"31","1117595","GHSA-xx6v-rp6x-q39c","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-xx6v-rp6x-q39c"
"32","1117858","GHSA-43fc-jf86-j433","axios","1.13.2","high",">=1.13.5","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-43fc-jf86-j433"
"33","1118607","GHSA-q8qp-cvcw-x6jj","axios","1.13.2","high",">=1.15.2","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-q8qp-cvcw-x6jj"
"34","1118641","GHSA-66ff-xgx4-vchm","protobufjs","7.5.4","high",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-66ff-xgx4-vchm"
"35","1118924","GHSA-2pr8-phx7-x9h3","protobufjs","7.5.4","moderate",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-2pr8-phx7-x9h3"
"36","1118926","GHSA-fx83-v9x8-x52w","protobufjs","7.5.4","moderate",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-fx83-v9x8-x52w"
"37","1118928","GHSA-75px-5xx7-5xc7","protobufjs","7.5.4","high",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-75px-5xx7-5xc7"
"38","1118930","GHSA-jvwf-75h9-cwgg","protobufjs","7.5.4","high",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-jvwf-75h9-cwgg"
"39","1118932","GHSA-685m-2w69-288q","protobufjs","7.5.4","high",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-685m-2w69-288q"
"40","1118933","GHSA-q6x5-8v7m-xcrf","@protobufjs/utf8","1.1.0","moderate",">=1.1.1","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Resolved as part of the compatible protobufjs 7.6.5 update.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs>@protobufjs/utf8","https://github.com/advisories/GHSA-q6x5-8v7m-xcrf"
"41","1118935","GHSA-q6x5-8v7m-xcrf","protobufjs","7.5.4","moderate",">=7.5.6","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-q6x5-8v7m-xcrf"
"42","1119378","GHSA-jggg-4jg4-v7c6","protobufjs","7.5.4","moderate",">=7.5.8","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-jggg-4jg4-v7c6"
"43","1119404","GHSA-fvcv-3m26-pcqx","axios","1.13.2","moderate",">=1.15.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-fvcv-3m26-pcqx"
"44","1119441","GHSA-w5hq-g745-h8pq","uuid","9.0.1","moderate",">=11.1.1","production","transitive","","conditionally-runtime-reachable","Redis event bus job identifiers","low","no-compatible-patch-in-parent-range","UUID 11 is outside BullMQ 5.13.0's ^9.0.0 range.","high","apps__backend>@medusajs/medusa>@medusajs/event-bus-redis>bullmq>uuid","https://github.com/advisories/GHSA-w5hq-g745-h8pq"
"45","1119502","GHSA-q8mj-m7cp-5q26","qs","6.14.0","moderate",">=6.15.2","production","direct","dependencies:^6.12.1","not-reachable-in-current-source","Unused direct storefront dependency","low","compatible-patch-applied","Upgrade direct storefront QS to 6.15.2 within its caret range.","low","apps__storefront>qs","https://github.com/advisories/GHSA-q8mj-m7cp-5q26"
"46","1120125","GHSA-62hf-57xw-28j9","axios","1.13.2","moderate",">=1.15.1","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-62hf-57xw-28j9"
"47","1120311","GHSA-jxxr-4gwj-5jf2","brace-expansion","5.0.5","moderate",">=5.0.6","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/cli>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-jxxr-4gwj-5jf2"
"48","1120370","GHSA-xxjr-mmjv-4gpg","lodash","4.17.21","moderate",">=4.17.23","production","direct","dependencies:^4.17.21","runtime-reachable","Storefront server/client utility calls","medium","compatible-patch-applied","Upgrade direct and transitive Lodash 4 to 4.18.1.","low","apps__storefront>lodash","https://github.com/advisories/GHSA-xxjr-mmjv-4gpg"
"49","1120547","GHSA-hfxv-24rg-xrqf","axios","1.13.2","high",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-hfxv-24rg-xrqf"
"50","1120643","GHSA-777c-7fjr-54vf","axios","1.13.2","high",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-777c-7fjr-54vf"
"51","1120645","GHSA-p92q-9vqr-4j8v","axios","1.13.2","high",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-p92q-9vqr-4j8v"
"52","1120647","GHSA-j5f8-grm9-p9fc","axios","1.13.2","high",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-j5f8-grm9-p9fc"
"53","1120649","GHSA-3g43-6gmg-66jw","axios","1.13.2","high",">=1.15.2","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-3g43-6gmg-66jw"
"54","1120650","GHSA-35jp-ww65-95wh","axios","1.13.2","high",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-35jp-ww65-95wh"
"55","1120652","GHSA-898c-q2cr-xwhg","axios","1.13.2","moderate",">=1.16.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-898c-q2cr-xwhg"
"56","1120743","GHSA-hmw2-7cc7-3qxx","form-data","4.0.5","high",">=4.0.6","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 4.0.6 within Axios's 4.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios>form-data","https://github.com/advisories/GHSA-hmw2-7cc7-3qxx"
"57","1120784","GHSA-v6wh-96g9-6wx3","vite","5.4.21","moderate",">=6.4.3","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Vite 6.4.x is outside Medusa 2.18's ^5.4.21 peer range.","high","apps__backend>@medusajs/framework>vite","https://github.com/advisories/GHSA-v6wh-96g9-6wx3"
"58","1120821","GHSA-8988-4f7v-96qf","@opentelemetry/core","2.7.1","moderate",">=2.8.0","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 2.9.0 within the parent ^2.0.0 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/instrumentation-pg>@opentelemetry/core","https://github.com/advisories/GHSA-8988-4f7v-96qf"
"59","1123488","GHSA-wcpc-wj8m-hjx6","protobufjs","7.5.4","high",">=7.6.1","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-wcpc-wj8m-hjx6"
"60","1123492","GHSA-f38q-mgvj-vph7","protobufjs","7.5.4","moderate",">=7.6.3","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-f38q-mgvj-vph7"
"61","1123525","GHSA-fx2h-pf6j-xcff","vite","5.4.21","high",">=6.4.3","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Vite 6.4.x is outside Medusa 2.18's ^5.4.21 peer range.","high","apps__backend>@medusajs/framework>vite","https://github.com/advisories/GHSA-fx2h-pf6j-xcff"
"62","1123528","GHSA-4x5r-pxfx-6jf8","@babel/core","7.28.5","low",">=7.29.6","production","transitive","","build-or-development-only","Admin/storefront compilation","low","compatible-patch-applied","Upgrade to 7.29.6 within the parent caret range.","low","apps__backend>@medusajs/medusa>@medusajs/admin-bundler>@vitejs/plugin-react>@babel/core","https://github.com/advisories/GHSA-4x5r-pxfx-6jf8"
"63","1123882","GHSA-42h9-826w-cgv3","axios","1.13.2","moderate",">=1.18.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-42h9-826w-cgv3"
"64","1123885","GHSA-pmv8-rq9r-6j72","axios","1.13.2","moderate",">=1.18.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-pmv8-rq9r-6j72"
"65","1123897","GHSA-3jxr-9vmj-r5cp","brace-expansion","1.1.12","high",">=1.1.16","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/medusa>yalc>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-3jxr-9vmj-r5cp"
"66","1123898","GHSA-3jxr-9vmj-r5cp","brace-expansion","5.0.5","high",">=5.0.7","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/cli>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-3jxr-9vmj-r5cp"
"67","1123957","GHSA-jqh4-m9w3-8hp9","axios","1.13.2","moderate",">=1.18.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-jqh4-m9w3-8hp9"
"68","1123959","GHSA-mmx7-hfxf-jppx","axios","1.13.2","moderate",">=1.18.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-mmx7-hfxf-jppx"
"69","1123964","GHSA-j3f2-48v5-ccww","protobufjs","7.5.4","moderate",">=7.6.5","production","transitive","","operational-cli-only","Medusa CLI OpenTelemetry gRPC export","low","compatible-patch-applied","Upgrade to 7.6.5 within proto-loader's ^7.2.5 range.","low","apps__backend>@medusajs/cli>@medusajs/deps>@opentelemetry/sdk-node>@opentelemetry/exporter-logs-otlp-grpc>@grpc/grpc-js>@grpc/proto-loader>protobufjs","https://github.com/advisories/GHSA-j3f2-48v5-ccww"
"70","1123971","GHSA-7q8q-rj6j-mhjq","axios","1.13.2","moderate",">=1.18.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-7q8q-rj6j-mhjq"
"71","1123973","GHSA-mwf2-3pr3-8698","axios","1.13.2","moderate",">=1.18.0","production","transitive","","operational-cli-only","Medusa CLI telemetry HTTP client","low","compatible-patch-applied","Upgrade to 1.19.0 within the parent ^1.x range.","low","apps__backend>@medusajs/cli>@medusajs/telemetry>axios","https://github.com/advisories/GHSA-mwf2-3pr3-8698"
